City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
148,Kerouane,GN,9.2667,-9.0167,95.36,32,52,5.48,broken clouds
149,Evensk,RU,61.95,159.2333,23.83,96,100,4.61,light snow
150,Biabou,VC,13.2,-61.1333,82.4,74,75,11.5,broken clouds
151,New Norfolk,AU,-42.7826,147.0587,54.9,73,55,1.97,broken clouds
152,Haimen,CN,23.1935,116.6142,67.89,77,34,27.0,scattered clouds
153,Kuusamo,FI,65.9667,29.1833,37.44,41,0,11.5,clear sky
154,Egvekinot,RU,66.3167,-179.1667,19.51,86,93,20.11,overcast clouds
155,Yulara,AU,-25.2406,130.9889,85.84,26,40,11.5,scattered clouds
156,Majene,ID,-3.5403,118.9707,79.75,87,100,1.5,overcast clouds
157,Kyabe,TD,9.4515,18.9449,102.52,19,73,1.81,broken clouds
158,Altagracia De Orituco,VE,9.8601,-66.3814,88.09,42,73,7.58,broken clouds
159,Nshamba,TZ,-1.7983,31.5511,69.51,81,99,5.17,overcast clouds
160,Taoudenni,ML,22.6783,-3.9836,93.54,7,0,13.78,clear sky
161,Havoysund,NO,70.9963,24.6622,37.63,97,100,24.74,light rain
162,Boyolangu,ID,-8.1181,111.8935,76.42,92,80,0.72,broken clouds
163,Kapit,MY,2.0167,112.9333,75.87,93,99,0.69,overcast clouds
164,Astoria,US,46.1879,-123.8313,38.86,94,100,3.44,overcast clouds
165,Chokurdakh,RU,70.6333,147.9167,10.4,96,100,4.61,light snow
166,Lorengau,PG,-2.0226,147.2712,81.97,78,43,6.24,scattered clouds
167,Tobermory,CA,45.2501,-81.6665,36.23,63,97,23.22,overcast clouds
168,Kaitangata,NZ,-46.2817,169.8464,52.34,69,100,7.54,overcast clouds
169,Dryden,CA,49.7833,-92.7503,16.09,73,100,10.36,overcast clouds
170,Chokwe,MZ,-24.5333,32.9833,93.56,38,39,2.37,scattered clouds
171,Khatanga,RU,71.9667,102.5,12.09,86,100,13.2,overcast clouds
172,Faya,SA,18.3851,42.4509,79.32,33,4,9.82,clear sky
173,Ambon,ID,-3.6954,128.1814,78.94,94,20,5.75,few clouds
174,Qaqortoq,GL,60.7167,-46.0333,28.26,65,66,8.25,broken clouds
