City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
198,Conceicao Do Araguaia,BR,84.29,broken clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
203,Santa Cruz,BO,73.45,few clouds,-17.8,-63.1667,Aviador Hotel Boutique
204,Makakilo City,US,71.69,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
206,Mar Del Plata,AR,60.82,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
207,San Cristobal,VE,75.38,broken clouds,7.7669,-72.225,Pirineos
208,Kavieng,PG,82.15,light rain,-2.5744,150.7967,Nusa Island Retreat
209,Cockburn Town,TC,78.76,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
210,Antofagasta,CL,63.68,clear sky,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
211,Road Town,VG,82.44,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
213,Rio Grande,BR,69.91,broken clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
214,Auki,SB,77.13,overcast clouds,-8.7676,160.7034,Auki Motel
215,Kruisfontein,ZA,60.89,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
216,Poninka,UA,60.19,light rain,50.1849,27.5363,T.m.p.
219,Pisco,PE,68.05,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
220,Kandrian,PG,77.47,overcast clouds,-6.2167,149.55,Kandrian Station
221,Teknaf,BD,80.82,few clouds,20.8624,92.3058,Forestry Guesthouse
222,Ulundi,ZA,69.15,light rain,-28.3352,31.4162,Ekhethelo Lodge Ulundi
223,Myanaung,MM,88.02,clear sky,18.2833,95.3167,Taung Hlay Khar
224,Kalabo,ZM,83.23,broken clouds,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
226,Maceio,BR,89.04,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
228,Sorong,ID,81.43,broken clouds,-0.8833,131.25,Waigo Splash Hotel
229,Kununurra,AU,78.78,broken clouds,-15.7667,128.7333,Hotel Kununurra
230,Sao Filipe,CV,71.91,clear sky,14.8961,-24.4956,Hotel Xaguate
232,Montespertoli,IT,79.84,clear sky,43.6442,11.0737,VILLA LA CAPPELLA
233,Kibaya,TZ,64.83,light rain,-5.3,36.5667,Lusaka Hotel
237,Camana,PE,69.89,broken clouds,-16.6228,-72.7111,Hostal Morales
239,Mexico,PH,83.91,overcast clouds,15.0646,120.7198,stone place
240,Port Blair,IN,84.24,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
242,Isangel,VU,79.3,broken clouds,-19.55,169.2667,Tanna Lodge
243,Chabahar,IR,82.67,clear sky,25.2919,60.643,هتل گدروشیا
246,Ambulu,ID,77.4,broken clouds,-8.345,113.6058,Hotel Ambulu Jember
247,Korla,CN,60.4,clear sky,41.7597,86.1469,Gulisitan Hotel
248,Chimore,BO,75.87,overcast clouds,-16.9833,-65.1333,Bichito
249,Namibe,AO,75.83,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
252,Galesong,ID,77.02,overcast clouds,-5.3166,119.3661,Sapriadi Appy
253,Guerrero Negro,MX,61.2,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
254,Neiafu,TO,82.09,light rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
256,Yarmouth,US,63.14,overcast clouds,41.7057,-70.2286,Blue Rock Resort
259,Kimbe,PG,76.01,scattered clouds,-5.5502,150.1429,Kimbe Bay Hotel
260,Geraldton,AU,66.61,mist,-28.7667,114.6,Broadwater Mariner Resort
262,Port Shepstone,ZA,65.37,light rain,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
267,Islamkot,PK,88.18,clear sky,24.6997,70.177,Haji Hotel
269,Castro,BR,64.2,clear sky,-24.7911,-50.0119,CHACARA BAILLY
272,Karaton,ID,75.18,scattered clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
273,Port Lincoln,AU,65.44,clear sky,-34.7333,135.8667,Port Lincoln Hotel
274,Katakwi,UG,67.59,heavy intensity rain,1.8911,33.9661,Ebenezer Guest House
275,Ribeira Grande,PT,63.0,broken clouds,38.5167,-28.7,Quinta da Meia Eira
276,Muros,ES,74.68,scattered clouds,42.7762,-9.0603,Apartment Av. Castelao
277,Atasu,KZ,61.83,clear sky,48.6814,71.6433,Dostyk
278,Port-Gentil,GA,79.57,overcast clouds,-0.7193,8.7815,Fengshui Residence
279,Port Hedland,AU,84.25,scattered clouds,-20.3167,118.5667,The Esplanade Hotel
280,Pernik,BG,71.29,clear sky,42.6,23.0333,Hotel Struma
282,Diu,IN,81.25,light rain,20.7141,70.9822,Hotel Relax Inn
283,Sid,RS,76.68,few clouds,45.1283,19.2264,DALLAS G&Z
284,Langenburg,DE,65.91,clear sky,49.2544,9.8458,Mawell Resort
285,Lamesa,US,66.52,clear sky,32.7376,-101.951,Shiloh Inn Lamesa
287,Los Llanos De Aridane,ES,67.12,clear sky,28.6585,-17.9182,Valle Aridane
288,Ponta Do Sol,PT,74.71,scattered clouds,32.6667,-17.1,Hotel do Campo
289,Bako,ET,68.09,moderate rain,5.7833,36.5667,Goh Hotel
290,Cassia,BR,75.09,broken clouds,-20.5831,-46.9219,Hotel Ancora e Restaurante
291,Dicabisagan,PH,76.37,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
293,Labuhan,ID,80.78,broken clouds,-6.8844,112.2051,DoubleFAG
294,Loiza,PR,86.07,scattered clouds,18.4313,-65.8802,Puerto Rico Vacation Villas at Aquatika
295,Mount Isa,AU,73.17,light rain,-20.7333,139.5,ibis Styles Mt Isa Verona
304,Lasa,IT,72.7,overcast clouds,46.6166,10.7002,Pension Feldgärtenhof
